ts,ax,ay,az,gx,gy,gz,label
79004,122,973,-321,-3784,3295,244,walking
79024,93,989,-280,-5310,2746,4516,walking
79044,86,1045,-358,-16540,8972,8178,walking
79064,102,1021,-372,25803,183,-4028,walking
79084,61,907,-328,24826,-8972,-7873,walking
79104,96,842,-341,-25329,-13305,-8666,walking
79124,93,745,-386,-15869,-21850,-8422,walking
79144,114,729,-427,-3051,-31677,3784,walking
79164,143,767,-475,3112,17563,11962,walking
79184,156,844,-480,5371,8163,20202,walking
79204,166,887,-480,-1586,5112,13854,walking
79224,138,899,-509,-1586,3159,12817,walking
79244,44,951,-512,-17578,20187,-7751,walking
79264,-34,980,-443,-7629,-31433,-7751,walking
79284,-67,1009,-363,-7141,-17089,-8544,walking
79304,-74,1026,-321,-4394,-6958,-7812,walking
79324,-60,1041,-278,-2075,-427,-6652,walking
79344,-50,1053,-258,18310,-2929,1342,walking
79364,-33,1035,-308,30517,-4638,4943,walking
79384,-25,978,-351,26184,-16418,1098,walking
79404,-61,949,-352,3112,-23925,-3234,walking
79424,-83,896,-362,-2319,-24841,-305,walking
79444,-69,881,-353,-10803,-14404,4272,walking
79464,-37,882,-346,-9155,-21728,8239,walking
79484,0,889,-328,-15502,-26794,2075,walking
79504,-1,887,-321,-23986,-23498,-4943,walking
79524,-16,875,-308,-30456,-11535,-9521,walking
79544,-40,883,-326,-29846,-2441,-5798,walking
79564,-69,915,-315,-26123,2685,305,walking
79584,-65,975,-309,-20080,8422,-244,walking
79604,-81,1020,-328,1464,8850,-3051,walking
79624,-79,1058,-313,16784,9155,-9826,walking
79644,-32,1014,-281,26489,5981,-11169,walking
79664,-16,969,-261,18920,6408,-12268,walking
79684,8,925,-267,4272,10681,-11718,walking
79704,-26,883,-292,-22949,23620,-10681,walking
79724,-15,825,-317,31601,-29160,-4089,walking
79744,-9,807,-383,-26306,-23483,5432,walking
79764,6,831,-494,-17028,-28244,11413,walking
79784,41,844,-618,-14648,27526,11840,walking
79804,60,881,-609,18310,-3601,15563,walking
79824,143,987,-421,-20493,-19958,14770,walking
79844,230,1016,-341,-28427,-17150,0,walking
79864,204,951,-345,11413,793,-19531,walking
79884,161,836,-315,-8117,21789,-25756,walking
79904,119,846,-240,-16845,-21652,-10192,walking
79924,146,921,-128,5371,-4684,25817,walking
79944,254,1092,-129,-29282,4776,-23178,walking
79964,268,1187,-271,30090,24246,24963,walking
79984,224,1096,-423,19287,9964,-2502,walking
80004,71,1073,-422,14648,-10361,8239,walking
80024,89,984,-327,-9765,-25070,-6591,walking
80044,48,900,-312,-27282,-19943,-12329,walking
80064,48,826,-315,-17395,-28976,-8850,walking
80084,65,787,-329,-8178,27709,2136,walking
80104,99,861,-330,-17822,17761,732,walking
80124,143,852,-231,-4943,8605,-122,walking
80144,139,899,-215,8911,4760,0,walking
80164,174,955,-264,10437,6408,-5126,walking
80184,162,981,-340,-4150,6591,-9033,walking
80204,125,988,-373,-3479,-4577,-10131,walking
80224,110,976,-308,-15808,-5004,-18493,walking
80244,92,912,-298,-17028,-6225,-27282,walking
80264,69,834,-287,-3051,-8911,-22094,walking
80284,76,832,-304,15014,-7080,-8422,walking
80304,90,891,-296,16906,-9643,-2197,walking
80324,101,947,-304,13488,-15075,-3295,walking
80344,101,974,-333,16906,-27648,-5310,walking
80364,93,972,-396,19226,18478,-5249,walking
80384,75,967,-454,17822,10056,-5249,walking
80404,48,960,-454,1647,17136,-11779,walking
80424,31,887,-468,-6530,22446,-9704,walking
80444,20,817,-422,-7690,23300,3784,walking
80464,0,773,-365,-4272,27878,15869,walking
80484,18,764,-326,6286,-25817,20690,walking
80504,38,851,-356,15136,-16113,19287,walking
80524,50,993,-376,29113,-14587,14709,walking
80544,10,1093,-390,27282,-17089,12329,walking
80564,-35,1114,-524,22094,-27893,7446,walking
80584,-14,1067,-549,23559,17807,-5920,walking
80604,-43,953,-371,5798,8286,-6225,walking
80624,-32,838,-301,-8911,30930,61,walking
80644,-33,804,-290,-1953,-22033,9216,walking
80664,-54,847,-309,-2380,-11474,12512,walking
80684,-70,896,-346,-5310,-7507,13732,walking
80704,-160,864,-395,15197,-18798,22216,walking
80724,-46,922,-418,17822,-30822,-29770,walking
80744,-46,947,-462,-24948,-27160,31860,walking
80764,-60,897,-469,-32455,31174,-28122,walking
80784,-23,932,-524,17150,-31311,-30869,walking
80804,67,954,-556,-5737,22324,13732,walking
80824,30,865,-439,3479,10849,-3173,walking
80844,-4,843,-390,-4089,20737,-6713,walking
80864,48,890,-365,-17211,-26367,-11413,walking
80884,68,938,-360,-29296,-2868,-24780,walking
80904,37,936,-426,-22827,1892,-26245,walking
80924,65,899,-380,-3234,-15930,-19226,walking
80944,30,847,-275,14831,-122,-23010,walking
80964,-11,883,-313,8117,24169,-24230,walking
80984,-36,877,-381,-549,-22385,-15319,walking
81004,-35,857,-396,13366,-15915,-183,walking
81024,36,819,-412,20019,-8163,9765,walking
81044,-185,930,-461,4943,-3525,13610,walking
81064,-55,942,-503,1892,-2731,9826,walking
81084,-57,979,-543,-4760,-5295,5249,walking
81104,10,991,-619,-1159,-8896,305,walking
81124,-25,924,-612,16784,-25681,-1770,walking
81144,11,846,-495,12573,-22263,-7568,walking
81164,63,760,-445,7934,-14694,-14953,walking
81184,107,695,-407,13183,-16037,-12207,walking
81204,169,724,-427,10620,-17014,-6652,walking
81224,184,821,-473,4882,-11642,-12084,walking
81244,161,887,-500,-1892,-7980,-19348,walking
81264,158,954,-541,-17395,-4074,-27648,walking
81284,136,959,-591,-23376,-10666,29587,walking
81304,124,947,-580,-21972,-26352,28732,walking
81324,136,923,-480,-15991,-9811,-31127,walking
81344,149,854,-435,6103,-23483,-13427,walking
81364,190,840,-327,17578,-28854,-6286,walking
81384,229,839,-247,17395,-24948,-5187,walking
81404,258,941,-251,12512,-17380,-427,walking
81424,247,1007,-298,-4943,-4318,-11169,walking
81444,254,973,-361,976,15274,15686,walking
81464,275,1018,-452,-9826,-7614,-10131,walking
81484,172,931,-403,-29296,-12741,-3540,walking
81504,146,931,-387,-19958,-10788,-6652,walking
81524,133,835,-396,-10314,-12924,-1647,walking
81544,151,815,-389,-2746,-20676,-122,walking
81564,161,843,-369,-1037,-25742,305,walking
81584,175,890,-361,488,-31357,1342,walking
81604,184,904,-353,10070,22827,-1159,walking
81624,194,900,-330,24291,17333,-2502,walking
81644,201,924,-318,19958,17272,-7812,walking
81664,202,948,-350,7141,18310,-15502,walking
81684,196,947,-365,-28747,19287,-31066,walking
81704,181,869,-346,25925,18615,31418,walking
81724,160,846,-318,26901,13732,-28381,walking
81744,148,882,-288,18906,6652,-23132,walking
81764,123,959,-291,22446,9460,-24963,walking
81784,101,970,-337,31052,11901,31479,walking
81804,113,978,-370,31296,14160,19455,walking
81824,129,1024,-272,30441,6713,3281,walking
81844,140,977,-162,-28991,3356,11703,walking
81864,186,961,-192,-10253,1953,-27709,walking
81884,181,918,-174,14099,-16357,-13000,walking
81904,149,871,-159,-5493,-14221,-8056,walking
81924,125,848,-207,-8361,-9643,-8056,walking
81944,123,870,-305,-12390,-16052,-11230,walking
81964,115,940,-361,-12512,-25939,-13122,walking
81984,89,1004,-337,14221,24887,-13916,walking
82004,80,1045,-336,31677,17685,-18127,walking
82024,61,1039,-339,10253,16342,-32348,walking
82044,56,979,-343,-22888,20615,16098,walking
82064,7,936,-331,1450,-25695,22446,walking
82084,-110,991,-335,-24796,-16235,-24230,walking
82104,-206,1008,-367,21881,-7324,19089,walking
82124,-265,896,-359,12558,-29968,-28625,walking
82144,-248,906,-555,6485,4257,-15686,walking
82164,-289,937,-325,-31187,-29922,-20493,walking
82184,-235,1085,-97,-16189,-3250,4593,walking
82204,-179,1098,-163,-12619,19455,-20920,walking
82224,-208,972,-258,27648,7736,-29343,walking
82244,-146,930,-346,10437,-11795,8361,walking
82264,-155,929,-291,8666,-12405,-3173,walking
82284,-187,932,-274,29113,-6424,5493,walking
82304,-183,932,-353,3006,-6729,21850,walking
82324,-160,969,-403,-20370,-2579,14709,walking
82344,-170,918,-348,-30807,-198,9033,walking
82364,-191,903,-346,13610,12497,671,walking
82384,-201,840,-361,11962,23544,9704,walking
82404,-197,813,-427,30822,28549,27038,walking
82424,-196,846,-481,26672,32516,31677,walking
82444,-136,868,-439,-25742,31784,24414,walking
82464,-113,886,-409,-19516,-32714,14526,walking
82484,-88,897,-410,31677,-28259,4516,walking
82504,-123,874,-435,16845,-21911,-1586,walking
82524,-157,842,-460,14343,-11718,-1953,walking
82544,-186,816,-486,25512,-1403,3845,walking
82564,-149,863,-467,17822,5859,6652,walking
82584,-136,846,-397,20751,11962,11352,walking
82604,-148,863,-382,5004,19836,9216,walking
82624,-152,842,-462,-18188,-30014,7873,walking
82644,-176,849,-453,30807,-19882,8056,walking
82664,-185,814,-467,22446,-20859,10192,walking
82684,-169,789,-464,26840,-23422,15991,walking
82704,-58,882,-543,-15258,-30441,21789,walking
82724,-140,825,-617,1770,-31677,-18493,walking
82744,-153,811,-519,5004,26123,18493,walking
82764,-98,770,-539,-7126,20935,-5661,walking
82784,9,1030,-487,13549,-1450,-18234,walking
82804,199,1099,-551,31524,-28533,25497,walking
82824,80,910,-559,25558,13488,-11047,walking
82844,46,908,-352,-19287,15319,3967,walking
82864,-6,507,-302,13626,-27206,25544,walking
82884,254,1097,-456,24169,6958,29190,walking
82904,162,1022,-328,31723,-1892,-12329,walking
82924,130,902,-56,17761,-20004,-3906,walking
82944,245,1027,-512,15,-915,29404,walking
82964,103,904,-284,4150,1403,1220,walking
82984,138,980,-407,-10437,2136,-3906,walking
83004,136,970,-469,3723,-24108,-17028,walking
83024,126,927,-434,-18127,-13977,-18127,walking
83044,145,880,-394,7248,-6103,-12207,walking
83064,150,873,-355,-12084,-6103,-13977,walking
83084,148,851,-382,31799,-13183,-27709,walking
83104,125,841,-444,27832,-20568,26718,walking
83124,67,836,-393,15869,28610,23300,walking
83144,3,829,-359,-17944,21591,-22583,walking
83164,22,963,-388,22568,16098,-22766,walking
83184,3,1010,-319,26214,-2884,-26367,walking
83204,-60,838,-304,-14359,-21011,-15563,walking
83224,-50,837,-400,-30761,13840,-28625,walking
83244,-30,969,-354,-28076,-22827,-13183,walking
83264,-32,992,-269,-26916,-22521,3845,walking
83284,-30,968,-241,-19958,-20751,3723,walking
83304,-38,984,-233,-22766,-19714,-1953,walking
83324,-40,1016,-308,6393,-29602,-1159,walking
83344,-35,881,-323,-14725,-30029,2380,walking
83364,-27,809,-305,16098,-22644,-16357,walking
83384,-107,799,-308,15182,-26000,-32409,walking
83404,-111,894,-338,12924,29892,23056,walking
